entry_date,entry_price,exit_date,exit_price,type,units,pnl,pnl_pct,reason
2025-04-10,292.35,2025-04-16,307.47,LONG,100,1512.0,5.17,TP
2025-04-17,306.12,2025-04-21,315.59,LONG,100,947.0,3.09,TP
2025-06-02,311.67,2025-06-27,301.22,LONG,100,-1045.0,-3.35,SL
2025-07-18,308.39,2025-07-22,316.1,LONG,100,771.0,2.5,TP
2025-07-22,316.1,2025-07-25,307.4,LONG,100,-870.0,-2.75,SL
2025-08-05,311.16,2025-09-02,325.59,LONG,100,1443.0,4.64,TP
2025-11-12,385.99,2025-11-17,371.65,LONG,100,-1434.0,-3.72,SL
2025-11-26,383.12,2025-12-11,393.24,LONG,100,1012.0,2.64,TP
